station_name,toilet_name,lat,lon,wheelchair,baby,ostomate,note
東京,東京駅周辺のトイレ,35.6788694,139.7687705,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6789364,139.7685775,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6789827,139.7685837,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6833173,139.7680082,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6803922,139.7659595,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6803598,139.765851,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6829637,139.7651416,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-1階),35.6823068,139.7661871,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6808287,139.7667492,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6816694,139.7666481,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.681672,139.7666364,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6816754,139.7666241,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.679928,139.7676889,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ,35.6587734,139.6997126,○,○,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (-2階),35.6595192,139.7000994,○,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ,35.6601668,139.7015599,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ,35.6598184,139.7015406,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (2階),35.6591691,139.7034339,○,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (1階),35.6590941,139.7014254,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (1階),35.6591347,139.7014186,,,,OpenStreetMapデータ
渋谷,南改札 (1階),35.6578211,139.7016873,,,,OpenStreetMapデータ
渋谷,南改札 (1階),35.6577788,139.7015649,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (2階),35.6591755,139.7030244,,,,OpenStreetMapデータ
渋谷,渋谷駅周辺のトイレ (1階),35.6582746,139.6983222,○,,,OpenStreetMapデータ
池袋,池袋駅周辺のトイレ,35.7316989,139.7113138,,,,OpenStreetMapデータ
池袋,池袋駅周辺のトイレ (-1階),35.7296265,139.7100045,,,,OpenStreetMapデータ
池袋,池袋駅周辺のトイレ (-2階),35.7311162,139.7090217,,,,OpenStreetMapデータ
池袋,池袋駅周辺のトイレ,35.7300461,139.7092373,,○,,OpenStreetMapデータ
池袋,池袋駅周辺のトイレ,35.7304826,139.705526,○,,,OpenStreetMapデータ
品川,品川駅周辺のトイレ,35.6307364,139.7352961,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7120431,139.773704,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7144121,139.7737452,○,○,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7172591,139.7744461,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7161866,139.7737445,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.712453,139.782223,,,,OpenStreetMapデータ
上野,西郷銅像下公衆トイレ,35.7109761,139.7738619,○,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7128698,139.776515,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7154969,139.7724556,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7161215,139.7778918,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7158231,139.7725063,,,,OpenStreetMapデータ
上野,上野駅周辺のトイレ,35.7130941,139.7721239,,,,OpenStreetMapデータ
