toilet_id,station_name,floor,lat,lon,description,features
Te6e50437,千駄ケ谷,不明,0.0,0.0,千駄ケ谷駅付近のトイレ / ベビーチェア,
Tcdd93d92,千駄ケ谷,不明,0.0,0.0,千駄ヶ谷駅前公衆便所 / 車椅子OK / オストメイト,
4776b763-6af5-5dd5-bd75-d34751b8f6fd,中野,不明,0.0,0.0,中野駅付近のトイレ,
T5f6da19e,中野,不明,0.0,0.0,北口トイレ（改札外） (0階) / 車椅子OK / ベビーチェア,
Te303cb29,中野,不明,0.0,0.0,北口トイレ（改札内） (0階) / 車椅子OK / ベビーチェア,
T30b76c02,中野,不明,0.0,0.0,南口トイレ（改札内） (0階) / 車椅子OK / ベビーチェア,
T93196c76,高円寺,不明,0.0,0.0,高円寺駅付近のトイレ / 車椅子OK,
af61624b-7e41-582e-a899-033a9434d901,高円寺,不明,0.0,0.0,高円寺駅付近のトイレ,
9acb4edb-a9aa-5ec3-b185-c5cb8792409a,阿佐ケ谷,不明,0.0,0.0,阿佐ケ谷駅付近のトイレ,
T0c39d658,阿佐ケ谷,不明,0.0,0.0,阿佐ケ谷駅付近のトイレ / 車椅子OK,
cffa51a6-3bcb-5956-b7cb-8d08623fa9fa,阿佐ケ谷,1F,0.0,0.0,阿佐ケ谷駅付近のトイレ (1階),
Tc6e17e6e,荻窪,1F,0.0,0.0,荻窪駅付近のトイレ (-1階) / 車椅子OK / ベビーチェア,
75009be4-d5e1-5a9a-95be-f36426c5036b,西荻窪,不明,0.0,0.0,西荻窪駅付近のトイレ,
T1543ac1d,吉祥寺,不明,0.0,0.0,吉祥寺駅付近のトイレ / 車椅子OK,
857bb0b7-7b16-5ff4-a44c-4ab263de7e0f,吉祥寺,不明,0.0,0.0,吉祥寺駅付近のトイレ,
Tddece2ee,三鷹,不明,0.0,0.0,三鷹駅付近のトイレ / 車椅子OK,
0ca361b6-45ee-5bcd-854f-1d4e5cae38f2,武蔵境,不明,0.0,0.0,武蔵境駅付近のトイレ,
945f08cb-fb9d-58f9-bfd1-c6c969673dd2,東小金井,不明,0.0,0.0,東小金井駅付近のトイレ,
T793d642d,東小金井,不明,0.0,0.0,東小金井駅付近のトイレ / 車椅子OK,
5d60c7c5-564a-5f3e-9e94-f9d107424084,武蔵小金井,不明,0.0,0.0,武蔵小金井駅付近のトイレ,
7f3fa372-730a-5539-901d-13a5510a72cc,国分寺,不明,0.0,0.0,国分寺駅付近のトイレ,
T3f89b0f9,国分寺,不明,0.0,0.0,国分寺駅付近のトイレ / 車椅子OK,
af86173c-b058-56cd-81d4-244e1fc20d58,西国分寺,不明,0.0,0.0,西国分寺駅付近のトイレ,
Tfeb8c0cd,国立,不明,0.0,0.0,国立駅トイレ(代表) / 車椅子OK / ベビーチェア,
Tbfbbfc37,立川,不明,0.0,0.0,立川駅トイレ(代表) / 車椅子OK / ベビーチェア,
Te4b5dff2,日野,不明,0.0,0.0,日野駅付近のトイレ / 車椅子OK,
d4fab41f-55d2-5626-83be-4243ea9b2340,日野,不明,0.0,0.0,日野駅付近のトイレ,
T724fcfae,豊田,不明,0.0,0.0,豊田駅トイレ(代表) / 車椅子OK / ベビーチェア,
T1a709356,八王子,不明,0.0,0.0,八王子駅付近のトイレ / 車椅子OK / ベビーチェア,
d64ee2f4-7216-5997-ab41-e68aa69b6373,八王子,不明,0.0,0.0,八王子駅付近のトイレ,
T423abd86,八王子,不明,0.0,0.0,八王子駅付近のトイレ / ベビーチェア,
Tdf3a6d47,八王子,不明,0.0,0.0,八王子駅付近のトイレ / 車椅子OK,
T4602003f,西八王子,不明,0.0,0.0,西八王子駅トイレ(代表) / 車椅子OK / ベビーチェア,
6a214ae4-ad59-558e-99fa-de754387226d,高尾,不明,0.0,0.0,高尾駅付近のトイレ,
69306013-00ef-59ef-98af-6cf397136303,赤羽,不明,0.0,0.0,赤羽駅東口公衆トイレ,
c91bcdd1-1a49-545a-a7a0-df7ae36b138a,赤羽,不明,0.0,0.0,赤羽駅付近のトイレ,
